dForagingMean,dSurvTransitionBroodingForaging,dSurvTransitionForagingBrooding,gtime,event,dispersal_avg,dispersal_std,num_female,num_male,fem_avg,fem_std,femLarv_avg,femLarv_std,malLarv_avg,malLarv_std,totLarv_avg,totLarv_std,relatedness,beta0_avg,beta0_std,beta1_avg,beta1_std,beta2_avg,beta2_std,beta3_avg,beta3_std,beta4_avg,beta4_std
80,0.9,0.9,1000.01,267293,-4.99784,0.0258769,949,4251,0,0.986408,0,1.4758,0,1.55016,1,2.11021,0.615304,-0.00166755,0.0289104,0.0010036,0.0242566,9.56687e-05,0.021408,-0.00318377,0.0234963,0.0037974,0.0282717
80,0.9,0.9,2000.01,534803,-4.99606,0.0317092,947,4277,0,0.986408,0,1.54984,0,1.47885,1,2.08207,0.557896,-0.00429199,0.0384668,-0.000233384,0.0291771,-0.00280752,0.0369385,-0.00463163,0.0345093,0.00221636,0.0420564
80,0.9,0.9,3000.01,802141,-4.99172,0.0422803,959,4181,0,0.994485,1,1.22393,0,1.55016,1,2.21472,0.525201,-0.00421891,0.0454496,-0.00541437,0.0441026,-0.00245382,0.0447735,-0.00804783,0.0409724,0.00340292,0.0408127
80,0.9,0.9,4000.01,1070099,-4.9991,0.0542783,942,4297,0,0.976729,1,1.2,0,1.5346,1,2.21968,0.59252,0.00504177,0.0479342,-0.00262411,0.0488166,0.00559077,0.0468373,-0.00536127,0.047281,-0.00335304,0.0478843
80,0.9,0.9,5000.01,1337301,-4.99644,0.0588989,950,4188,0,0.990959,1,1.2482,0,1.53851,1,2.19886,0.587352,0.00638502,0.0518484,-0.00357345,0.0565199,0.0084321,0.0595917,0.00406632,0.0513132,0.000589762,0.0579502
80,0.9,0.9,6000.01,1604707,-4.99096,0.0613293,936,4208,0,0.972625,0,1.4802,0,1.4829,1,2.0693,0.586236,0.0012387,0.0533168,0.00419267,0.0601574,0.0105984,0.0684732,0.0130056,0.0557402,-0.00448881,0.0578929
80,0.9,0.9,7000.01,1872310,-4.98871,0.067263,954,4209,0,0.986914,0,1.57194,0,1.54629,1,2.18174,0.54359,0.00508978,0.0555485,0.00157223,0.0645795,0.0183805,0.0773433,0.0158512,0.0572437,-0.0133437,0.0683882
80,0.9,0.9,8000.01,2139436,-4.98761,0.0710018,948,4220,0,0.980816,0,1.51855,0,1.49332,1,2.05913,0.581369,0.00709816,0.0609352,-0.000813066,0.0655354,0.0117435,0.0815209,0.0166651,0.0594397,-0.00825026,0.0772928
80,0.9,0.9,9000.01,2406885,-4.97745,0.0702238,946,4191,0,0.984886,0,1.51063,0,1.51954,1,2.1422,0.605624,0.00175935,0.0641384,-0.00304791,0.0690021,0.0164457,0.0844735,0.0216579,0.0573135,-0.0178726,0.0747273
80,0.9,0.9,10000,2674496,-4.9785,0.0763705,936,4261,0,0.973653,0,1.52053,0,1.52971,1,2.1536,0.557561,-0.00413438,0.0659046,-0.0103552,0.0697891,0.00691674,0.0869234,0.0218005,0.0645275,-0.0280191,0.0887216
80,0.9,0.9,11000,2941960,-4.98599,0.0836413,946,4299,0,0.991968,1,1.22434,0,1.61771,2,2.06785,0.589077,0.00508713,0.0731361,-0.00716255,0.0713642,0.0116004,0.0850561,0.0180904,0.072191,-0.0229557,0.0902028
80,0.9,0.9,12000,3209530,-4.98107,0.0847917,945,4158,0,0.980306,0,1.49365,0,1.48155,1,2.09045,0.595244,-0.00227159,0.073907,-0.00120467,0.0745204,0.00311694,0.0843364,0.0219437,0.0896142,-0.0222972,0.0976141
80,0.9,0.9,13000,3476909,-4.96969,0.0832995,949,4209,0,0.980306,0,1.45808,0,1.50266,1,2.04304,0.581736,0.00419604,0.068657,-0.0120501,0.0754193,0.00486348,0.0918145,0.0197493,0.0894576,-0.0186662,0.0972978
80,0.9,0.9,14000,3744439,-4.98426,0.0760873,961,4386,0,0.989444,0,1.52151,1,1.23814,1,2.2145,0.620445,0.000411601,0.076206,-0.0172386,0.0794861,0.000100058,0.091319,0.0221082,0.0878876,-0.0175963,0.104959
80,0.9,0.9,15000,4011874,-4.99743,0.0776167,947,4250,0,0.979285,0,1.57162,1,1.253,2,2.03912,0.578192,0.00443077,0.0771346,-0.0232608,0.0778365,0.00538097,0.0937429,0.0195416,0.0924672,-0.0296848,0.104736
80,0.9,0.9,16000,4279084,-5.00208,0.0744556,943,4236,0,0.976217,0,1.5411,0,1.49666,1,2.14079,0.569241,0.00239585,0.0768221,-0.0358986,0.0854472,0.0136347,0.0998335,0.0254532,0.094752,-0.0273127,0.109804
80,0.9,0.9,17000,4546438,-5.00961,0.0772912,954,4209,0,0.984886,0,1.58619,0,1.44222,1,2.1429,0.586882,0.00339517,0.08275,-0.0359065,0.0922612,0.0255893,0.0943214,0.0295064,0.089558,-0.0446056,0.114379
80,0.9,0.9,18000,4814115,-5.00979,0.0818661,958,4316,0,0.985901,0,1.56844,1,1.25658,2,2.07147,0.617843,0.0105453,0.0916692,-0.0287922,0.0850764,0.019781,0.0952988,0.0329651,0.0890823,-0.0363341,0.119556
80,0.9,0.9,19000,5081628,-5.01486,0.090029,953,4150,0,0.985393,0,1.52938,1,1.27043,2,2.03002,0.552394,0.00268291,0.0887347,-0.0328083,0.0842918,0.015803,0.0931487,0.0207655,0.0968552,-0.0406793,0.118149
80,0.9,0.9,20000,5348838,-5.00842,0.0976027,938,4191,0,0.973653,0,1.55048,0,1.47682,1,2.13565,0.550442,-0.00341848,0.0888989,-0.0267028,0.0886615,0.00996772,0.102322,0.0198721,0.0948378,-0.0346255,0.121694
80,0.9,0.9,21000,5616002,-5.01418,0.100806,950,4145,0,0.985901,1,1.25778,0,1.53981,1,2.2025,0.596797,0.00191772,0.0946914,-0.0331263,0.0920733,-0.00738494,0.0996507,0.0269096,0.100946,-0.026864,0.13203
80,0.9,0.9,22000,5883372,-5.00998,0.0996322,958,4262,0,0.988939,0,1.49131,0,1.46014,1,2.09428,0.553776,-0.00190525,0.0914601,-0.0284325,0.102504,0.00877287,0.109819,0.0292669,0.101202,-0.0247254,0.122732
80,0.9,0.9,23000,6150943,-5.01621,0.0969557,955,4195,0,0.989444,0,1.49766,0,1.39499,1,1.98116,0.561054,-0.0169682,0.101026,-0.0287209,0.0973957,-0.0129448,0.117764,0.0210987,0.101996,-0.0244338,0.131439
80,0.9,0.9,24000,6418127,-5.03097,0.111908,947,4224,0,0.984378,0,1.42021,0,1.47682,1,1.97484,0.585242,-0.0146791,0.103269,-0.018979,0.0917059,-0.0134284,0.112192,0.0169073,0.106591,-0.0369147,0.139534
80,0.9,0.9,25000,6685674,-5.04293,0.120207,928,4257,0,0.971597,0,1.54984,0,1.58682,1,2.24098,0.595199,-0.00497219,0.0961743,-0.026059,0.0935607,0.00396802,0.103791,0.0229456,0.118454,-0.036455,0.13364
80,0.9,0.9,26000,6953303,-5.0463,0.122583,944,4115,0,0.980816,1,1.18533,0,1.51888,2,1.8905,0.565064,-0.00287883,0.0906263,-0.0217101,0.0965272,-0.01726,0.125137,0.0303745,0.112442,-0.0238256,0.129712
80,0.9,0.9,27000,7220912,-5.05904,0.127687,954,4117,0,0.987927,0,1.54272,0,1.47377,1,2.12556,0.575509,-0.000143489,0.0917121,-0.0193411,0.0959959,-0.0203532,0.118163,0.00927461,0.104621,-0.0541294,0.130052
80,0.9,0.9,28000,7487988,-5.05012,0.129478,963,4148,0,0.994485,0,1.5333,0,1.49967,1,2.14429,0.552273,-0.00361677,0.0917122,-0.0262523,0.0955386,-0.00962051,0.108457,0.0245665,0.102027,-0.0294012,0.130081
80,0.9,0.9,29000,7755255,-5.03417,0.134748,963,4253,0,0.991464,0,1.56013,0,1.50732,1,2.19499,0.571069,6.9734e-05,0.0945555,-0.022275,0.0941308,0.0032308,0.1163,0.0150263,0.0991065,-0.0409859,0.11862
