dForagingSD,dForagingMean,gtime,pertime_foraging,num_foraging,num_choices,nest_id
0.5,0.5,1200.03,0.317647,18,47,5119
0.5,0.5,1850.04,0.419355,26,53,7521
0.5,0.5,2650.06,0,0,1,11782
0.5,0.5,3100.06,0.574468,18,28,13153
0.5,0.5,3150.06,0.389121,124,270,9817
0.5,0.5,3350.06,0.396226,7,15,14324
0.5,0.5,3400.06,0.483871,15,27,14487
0.5,0.5,3800.11,0.162162,24,117,14701
0.5,0.5,3800.11,0.466667,7,13,16437
0.5,0.5,3850.11,0.543788,89,145,14660
0.5,0.5,4550.11,0.45,12,23,19456
0.5,0.5,4850.11,0.319149,5,13,20971
0.5,0.5,5000.11,0.590551,25,38,21169
0.5,0.5,6900.15,0.5625,24,38,29608
0.5,0.5,7400.15,0.603774,128,191,29496
0.5,0.5,8150.15,0.473684,6,11,35701
0.5,0.5,8150.15,0.625532,49,71,33219
0.5,0.5,8350.23,0.490909,9,16,36514
0.5,0.5,8550.23,0.473684,30,55,36813
0.5,0.5,8650.23,0.559633,61,97,36621
0.5,0.5,9050.23,0.538462,14,23,39649
0.5,0.5,9150.23,0.428571,3,6,40403
0.5,0.5,9500.23,0.407407,11,23,41752
0.5,0.5,9600.23,0,0,3,42468
